titles,authors,images,urls,name,search
"A Virgem amamentando o Menino e são João Batista criança em adoração, 1500-20",Giampietrino,https://assets.masp.org.br/uploads/collection/q73QVx53R3mjbAfjXARVWkOiFNdEuDy2.jpg,https://masp.org.br/acervo/obra/a-virgem-amamentando-o-menino-e-sao-joao-batista-crianca-em-adoracao,a-virgem-amamentando-o-menino-e-sao-joao-batista-crianca-em-adoracao,a-virgem-amamentando-o-menino-e-sao-joao-batista-crianca-em-adoracao site:https://masp.org.br/acervo/
"O casamento desigual, 1525-30",Quentin Metsys (Seguidor de),https://assets.masp.org.br/uploads/collection/LK2ZEkQZyyMZ6Ve2UMfXBjTtMo14a2rx.jpg,https://masp.org.br/acervo/obra/o-casamento-desigual,o-casamento-desigual,o-casamento-desigual site:https://masp.org.br/acervo/
"Retrato de jovem aristocrata – Um jovem noivo da família Rava, 1539","Lucas Cranach, o Antigo",https://assets.masp.org.br/uploads/collection/OZRk1vHW5y7nlFOLyz3kIeFizKdeHBW0.jpg,https://masp.org.br/acervo/obra/retrato-de-jovem-aristocrata-um-jovem-noivo-da-familia-rava,retrato-de-jovem-aristocrata-um-jovem-noivo-da-familia-rava,retrato-de-jovem-aristocrata-um-jovem-noivo-da-familia-rava site:https://masp.org.br/acervo/
"O poeta Henry Howard, conde de Surrey, circa 1542",Hans Holbein. o Jovem,https://assets.masp.org.br/uploads/collection/KNK8pFmml2UHUOrudX1MhPAsmJsMT41l.jpg,https://masp.org.br/acervo/obra/o-poeta-henry-howard-conde-de-surrey,o-poeta-henry-howard-conde-de-surrey,o-poeta-henry-howard-conde-de-surrey site:https://masp.org.br/acervo/
"Cristo perante Pilatos, Sem data",Seguidor de Hieronymus Bosch,https://assets.masp.org.br/uploads/collection/EafPh6bEdkFPCdaGPZsr89hwnSr0fOkn.jpg,https://masp.org.br/acervo/obra/cristo-perante-pilatos,cristo-perante-pilatos,cristo-perante-pilatos site:https://masp.org.br/acervo/
,,,https://masp.org.br/acervo/obra/sem-titulo-retrato-de-alvise-contarini,sem-titulo-retrato-de-alvise-contarini,sem-titulo-retrato-de-alvise-contarini site:https://masp.org.br/acervo/
"O juízo final e a missa de são Gregório, 1500-20",Mestre da Família Artés,https://assets.masp.org.br/uploads/collection/SK0bXuEyezmyiR5v6g8XTKvUr2Lsu6Mb.jpg,https://masp.org.br/acervo/obra/o-juizo-final-e-a-missa-de-sao-gregorio,o-juizo-final-e-a-missa-de-sao-gregorio,o-juizo-final-e-a-missa-de-sao-gregorio site:https://masp.org.br/acervo/
"Retrato de um fidalgo florentino (Piero de Medici [?]), Sem data",Alessandro Allori (Ateliê),https://assets.masp.org.br/uploads/collection/cReUKAWlv8Th1nVjGQAvAKKtJRkFVpjq.jpg,https://masp.org.br/acervo/obra/retrato-de-um-fidalgo-florentino-piero-de-medici,retrato-de-um-fidalgo-florentino-piero-de-medici,retrato-de-um-fidalgo-florentino-piero-de-medici site:https://masp.org.br/acervo/
"Retrato do cardeal Cristoforo Madruzzo, 1552",Ticiano,https://assets.masp.org.br/uploads/collection/e5FgOw56rBjljKejvFVSQC02zE9MBy07.jpg,https://masp.org.br/acervo/obra/retrato-do-cardeal-cristoforo-madruzzo,retrato-do-cardeal-cristoforo-madruzzo,retrato-do-cardeal-cristoforo-madruzzo site:https://masp.org.br/acervo/
"O banho de Diana, 1559-60",François Clouet,https://assets.masp.org.br/uploads/collection/y6cRDkVXo6LY8Pm8ZpIuzMeu6vjCAkpe.jpg,https://masp.org.br/acervo/obra/o-banho-de-diana,o-banho-de-diana,o-banho-de-diana site:https://masp.org.br/acervo/
"Lamentação sobre o Cristo morto (ou Pietà), 1560-65",Jacopo Tintoretto,https://assets.masp.org.br/uploads/collection/DT6lwQRVBTa8Qi9GgnVfewIRrEum9tuS.jpg,https://masp.org.br/acervo/obra/lamentacao-sobre-o-cristo-morto-ou-pieta,lamentacao-sobre-o-cristo-morto-ou-pieta,lamentacao-sobre-o-cristo-morto-ou-pieta site:https://masp.org.br/acervo/
